company,rank,actual_over_generated_term,actual_count_minus_generated_count,actual_count,generated_count
Amazon,1,products,215,215,0
Amazon,2,energy,201,210,9
Amazon,3,carbon,172,174,2
Amazon,4,water,152,156,4
Amazon,5,waste,145,145,0
Amazon,6,employees,143,146,3
Amazon,7,progress,143,144,1
Amazon,8,supply,137,138,1
Amazon,9,packaging,127,129,2
Amazon,10,suppliers,127,127,0
Amazon,11,across,124,124,0
Amazon,12,chain,124,125,1
Amazon,13,private,119,120,1
Amazon,14,responsible,115,118,3
Amazon,15,emissions,111,115,4
Amazon,16,brands,108,108,0
Amazon,17,customers,107,107,0
Amazon,18,safety,107,111,4
Amazon,19,support,106,106,0
Amazon,20,human,105,106,1
Microsoft,1,water,373,383,10
Microsoft,2,carbon,310,312,2
Microsoft,3,waste,219,224,5
Microsoft,4,global,196,198,2
Microsoft,5,energy,191,194,3
Microsoft,6,across,131,133,2
Microsoft,7,climate,125,125,0
Microsoft,8,new,125,125,0
Microsoft,9,emissions,119,126,7
Microsoft,10,solutions,119,119,0
Microsoft,11,progress,116,117,1
Microsoft,12,use,112,115,3
Microsoft,13,orts,107,107,0
Microsoft,14,projects,103,103,0
Microsoft,15,impact,101,103,2
Microsoft,16,sustainable,98,98,0
Microsoft,17,appendix,95,96,1
Microsoft,18,customer,93,96,3
Microsoft,19,datacenters,87,87,0
Microsoft,20,advancing,85,85,0
SAP,1,ion,6,6,0
SAP,2,ainabili,5,5,0
SAP,3,sus,5,5,0
SAP,4,von,5,5,0
SAP,5,con,2,2,0
SAP,6,egic,2,2,0
SAP,7,execu,2,2,0
SAP,8,inves,2,2,0
SAP,9,ions,2,2,0
SAP,10,nancial,2,2,0
SAP,11,pla,2,2,0
SAP,12,repor,2,2,0
SAP,13,abili,1,1,0
SAP,14,ables,1,1,0
SAP,15,accelera,1,1,0
SAP,16,aims,1,1,0
SAP,17,akeholders,1,1,0
SAP,18,anchored,1,1,0
SAP,19,careers,1,1,0
SAP,20,cash,1,1,0
Zalando,1,eur,912,913,1
Zalando,2,board,695,697,2
Zalando,3,management,646,650,4
Zalando,4,lti,360,360,0
Zalando,5,prior,352,352,0
Zalando,6,supervisory,347,348,1
Zalando,7,esrs,343,344,1
Zalando,8,value,337,340,3
Zalando,9,remuneration,330,330,0
Zalando,10,options,317,317,0
Zalando,11,period,292,292,0
Zalando,12,performance,290,290,0
Zalando,13,related,274,274,0
Zalando,14,risks,272,277,5
Zalando,15,reporting,258,262,4
Zalando,16,cash,253,253,0
Zalando,17,share,253,253,0
Zalando,18,assets,248,248,0
Zalando,19,total,239,240,1
Zalando,20,employees,234,236,2
